graph_id,anomaly_score,threshold,is_anomalous,timestamp,precision,recall,f1,accuracy,auc,av_available,av_engine,av_total_scanned,av_clean_count,av_infected_count,av_error_count,av_missing_count,av_unavailable_count
graph_1775375773496,3.536366,2.5,True,1775375789030,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375778919,200.482456,2.5,True,1775375789037,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375787135,185.431387,2.5,True,1775375789048,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375807873,9.672424,2.5,True,1775375807945,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375807893,11.902082,2.5,True,1775375807960,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375807904,13.750725,2.5,True,1775375807974,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375791054,169.339108,2.5,True,1775375807982,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375796538,193.767656,2.5,True,1775375807991,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775375801539,69.37432,2.5,True,1775375807999,0.6667,1.0,0.8,0.6667,0.3889,True,ClamAV 1.5.2,15,0,0,15,0,0
