graph_id,anomaly_score,threshold,is_anomalous,timestamp,precision,recall,f1,accuracy,auc,av_available,av_engine,av_total_scanned,av_clean_count,av_infected_count,av_error_count,av_missing_count,av_unavailable_count
graph_1775374501301,28.446534,2.5,True,1775374516866,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775374509001,86.093693,2.5,True,1775374516873,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775374535671,13.687081,2.5,True,1775374535700,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775374535641,18.690153,2.5,True,1775374535716,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775374535648,18.882103,2.5,True,1775374535725,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775374518905,261.728692,2.5,True,1775374535737,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775374524310,164.974209,2.5,True,1775374535747,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775374529311,161.184588,2.5,True,1775374535757,0.75,1.0,0.8571,0.75,0.5417,True,ClamAV 1.5.2,15,0,0,15,0,0
