graph_id,anomaly_score,threshold,is_anomalous,timestamp,precision,recall,f1,accuracy,auc,av_available,av_engine,av_total_scanned,av_clean_count,av_infected_count,av_error_count,av_missing_count,av_unavailable_count
graph_1775396847928,24.205993,2.5,True,1775396857988,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775396856927,2.159006,2.5,False,1775396857995,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775396876268,5.457764,2.5,True,1775396876333,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775396876301,5.260763,2.5,True,1775396876352,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775396876294,5.61189,2.5,True,1775396876372,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775396859928,6.395126,2.5,True,1775396876380,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775396867111,3.729369,2.5,True,1775396876396,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775396873741,10.693742,2.5,True,1775396876405,0.8571,1.0,0.9231,0.875,0.5,True,ClamAV 1.5.2,15,0,0,15,0,0
