graph_id,anomaly_score,threshold,is_anomalous,timestamp,precision,recall,f1,accuracy,auc,av_available,av_engine,av_total_scanned,av_clean_count,av_infected_count,av_error_count,av_missing_count,av_unavailable_count
graph_1775458883486,0.752007,2.5,False,1775458898891,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458889487,70.441087,2.5,True,1775458898896,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458896931,61.691116,2.5,True,1775458898898,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458916805,7.407343,2.5,True,1775458916838,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458916826,8.121334,2.5,True,1775458916853,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458916867,9.269349,2.5,True,1775458916858,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458900817,97.443213,2.5,True,1775458916860,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458906228,50.882531,2.5,True,1775458916864,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
graph_1775458911633,8.944215,2.5,True,1775458916868,0.75,1.0,0.8571,0.7778,0.4722,True,ClamAV 1.5.2,15,0,0,15,0,0
